date,v_min,source_file
2026-05-17,13.24,battery_bank_voltage_voltmeter_battery_bank_voltage_01_05_2026_00h__01_06_2026_00h.csv
2026-05-18,13.24,battery_bank_voltage_voltmeter_battery_bank_voltage_01_05_2026_00h__01_06_2026_00h.csv
2026-05-19,13.24,battery_bank_voltage_voltmeter_battery_bank_voltage_01_05_2026_00h__01_06_2026_00h.csv
2026-05-20,13.24,battery_bank_voltage_voltmeter_battery_bank_voltage_01_05_2026_00h__01_06_2026_00h.csv
2026-05-21,13.24,battery_bank_voltage_voltmeter_battery_bank_voltage_01_05_2026_00h__01_06_2026_00h.csv
2026-05-22,13.24,battery_bank_voltage_voltmeter_battery_bank_voltage_01_05_2026_00h__01_06_2026_00h.csv
2026-05-23,13.24,battery_bank_voltage_voltmeter_battery_bank_voltage_01_05_2026_00h__01_06_2026_00h.csv
2026-05-24,13.24,battery_bank_voltage_voltmeter_battery_bank_voltage_01_05_2026_00h__01_06_2026_00h.csv
2026-05-25,13.24,battery_bank_voltage_voltmeter_battery_bank_voltage_01_05_2026_00h__01_06_2026_00h.csv
2026-05-26,13.24,battery_bank_voltage_voltmeter_battery_bank_voltage_01_05_2026_00h__01_06_2026_00h.csv
2026-05-27,13.24,battery_bank_voltage_voltmeter_battery_bank_voltage_01_05_2026_00h__01_06_2026_00h.csv
2026-05-28,13.21,battery_bank_voltage_voltmeter_battery_bank_voltage_01_05_2026_00h__01_06_2026_00h.csv
2026-05-29,13.22,battery_bank_voltage_voltmeter_battery_bank_voltage_01_05_2026_00h__01_06_2026_00h.csv
2026-05-30,13.23,battery_bank_voltage_voltmeter_battery_bank_voltage_01_05_2026_00h__01_06_2026_00h.csv
2026-05-31,13.22,battery_bank_voltage_voltmeter_battery_bank_voltage_01_05_2026_00h__01_06_2026_00h.csv
2026-06-01,13.22,battery_bank_voltage_voltmeter_battery_bank_voltage_01_06_2026_00h__01_07_2026_00h.csv
2026-06-02,13.22,battery_bank_voltage_voltmeter_battery_bank_voltage_01_06_2026_00h__01_07_2026_00h.csv
2026-06-03,13.22,battery_bank_voltage_voltmeter_battery_bank_voltage_01_06_2026_00h__01_07_2026_00h.csv
2026-06-04,13.22,battery_bank_voltage_voltmeter_battery_bank_voltage_01_06_2026_00h__01_07_2026_00h.csv
2026-06-05,13.22,battery_bank_voltage_voltmeter_battery_bank_voltage_01_06_2026_00h__01_07_2026_00h.csv
2026-06-06,13.22,battery_bank_voltage_voltmeter_battery_bank_voltage_01_06_2026_00h__01_07_2026_00h.csv
2026-06-07,13.23,battery_bank_voltage_voltmeter_battery_bank_voltage_01_06_2026_00h__01_07_2026_00h.csv
2026-06-08,13.23,battery_bank_voltage_voltmeter_battery_bank_voltage_01_06_2026_00h__01_07_2026_00h.csv
2026-06-09,13.24,battery_bank_voltage_voltmeter_battery_bank_voltage_01_06_2026_00h__01_07_2026_00h.csv
2026-06-10,13.25,battery_bank_voltage_voltmeter_battery_bank_voltage_01_06_2026_00h__01_07_2026_00h.csv
