time_utc,voltage,current,power
2026-07-16 14:18:01.528000+00:00,13.318359,-0.013351,-0.640869
2026-07-16 14:18:03.534000+00:00,13.318359,-0.016785,-0.880127
2026-07-16 14:18:05.539000+00:00,13.318555,0.000381,-0.393066
2026-07-16 14:18:07.524000+00:00,13.318359,-0.020218,0.847168
2026-07-16 14:18:09.538000+00:00,13.318359,-0.012589,-0.784912
2026-07-16 14:18:11.540000+00:00,13.318555,-0.016022,-0.864258
2026-07-16 14:18:13.546000+00:00,13.318359,-0.009918,-0.970459
2026-07-16 14:18:15.545000+00:00,13.318359,-0.016022,-0.863037
2026-07-16 14:18:17.534000+00:00,13.318359,-0.001144,-0.751953
2026-07-16 14:18:23.555000+00:00,13.318555,-0.012207,-0.749512
2026-07-16 14:18:25.554000+00:00,13.318555,-0.008774,-1.00708
2026-07-16 14:18:27.544000+00:00,13.318359,-0.01297,-0.908203
2026-07-16 14:18:29.544000+00:00,13.318555,-0.008392,-0.802002
2026-07-16 14:18:31.551000+00:00,13.318555,-0.019455,-0.635986
2026-07-16 14:18:33.572000+00:00,13.318359,-0.005341,-0.926514
2026-07-16 14:18:35.555000+00:00,13.318555,-0.009537,-1.07666
2026-07-16 14:18:37.556000+00:00,13.318359,-0.009155,-0.943604
2026-07-16 14:18:39.574000+00:00,13.318555,-0.004196,-0.749512
2026-07-16 14:18:41.577000+00:00,13.318555,-0.005341,-0.839844
2026-07-16 14:18:43.580000+00:00,13.318359,-0.024033,-0.817871
2026-07-16 14:18:45.582000+00:00,13.318555,-0.013733,-0.646973
2026-07-16 14:18:47.568000+00:00,13.318555,0.003815,-0.795898
2026-07-16 14:18:49.587000+00:00,13.318359,0.016785,0.982666
2026-07-16 14:18:51.590000+00:00,13.318555,-0.003052,0.775146
2026-07-16 14:18:53.595000+00:00,13.318555,-0.000763,-0.834961
2026-07-16 14:18:55.597000+00:00,13.318359,0.006485,-0.710449
2026-07-16 14:18:57.585000+00:00,13.318555,-0.00267,0.88623
2026-07-16 14:18:59.603000+00:00,13.318555,-0.032043,-0.961914
2026-07-16 14:19:01.604000+00:00,13.318555,-0.02327,-0.743408
2026-07-16 14:19:03.608000+00:00,13.318555,-0.019836,-0.889893
2026-07-16 14:19:05.610000+00:00,13.318555,-0.00267,-0.899658
2026-07-16 14:19:07.599000+00:00,13.318555,-0.007248,-0.804443
2026-07-16 14:19:09.615000+00:00,13.318359,-0.00267,-0.722656
2026-07-16 14:19:11.617000+00:00,13.318359,-0.005341,-0.947266
2026-07-16 14:19:13.620000+00:00,13.318555,-0.013351,-0.897217
2026-07-16 14:19:15.623000+00:00,13.318359,0.004959,-0.909424
2026-07-16 14:19:19.630000+00:00,13.318359,-0.018311,0.944824
2026-07-16 14:19:21.632000+00:00,13.318555,-0.001526,-0.489502
2026-07-16 14:19:23.637000+00:00,13.318555,-0.00267,-0.606689
2026-07-16 14:19:25.640000+00:00,13.318555,-0.013733,-0.614014
2026-07-16 14:19:27.624000+00:00,13.318555,-0.007248,-0.974121
2026-07-16 14:19:29.622000+00:00,13.318555,-0.009155,-0.90332
2026-07-16 14:19:31.627000+00:00,13.318555,-0.002289,-0.71167
2026-07-16 14:19:33.643000+00:00,13.318555,-0.009155,-0.819092
2026-07-16 14:19:35.635000+00:00,13.318555,-0.009918,-1.057129
2026-07-16 14:19:37.630000+00:00,13.318555,-0.007629,-0.856934
2026-07-16 14:19:39.651000+00:00,13.318555,0.001907,-0.703125
