time_utc,voltage,current,power
2026-07-16 18:12:35.651000+00:00,13.264648,-0.014496,-0.229492
2026-07-16 18:12:37.652000+00:00,13.264844,-0.012207,-0.22583
2026-07-16 18:12:39.654000+00:00,13.264844,-0.012589,-0.219727
2026-07-16 18:12:43.665000+00:00,13.265039,-0.011826,-0.213623
2026-07-16 18:12:45.670000+00:00,13.265039,-0.012207,-0.209961
2026-07-16 18:12:47.675000+00:00,13.265039,-0.011826,-0.213623
2026-07-16 18:12:51.665000+00:00,13.265235,-0.012207,-0.197754
2026-07-16 18:12:53.675000+00:00,13.265235,-0.01297,-0.205078
2026-07-16 18:12:55.680000+00:00,13.265429,-0.009918,-0.235596
2026-07-16 18:12:57.676000+00:00,13.265235,-0.014877,-0.211182
2026-07-16 18:12:59.682000+00:00,13.265429,-0.012207,-0.235596
2026-07-16 18:13:03.685000+00:00,13.265429,-0.010681,-0.201416
2026-07-16 18:13:07.694000+00:00,13.265625,-0.012207,-0.201416
2026-07-16 18:13:09.697000+00:00,13.270703,2.811813,-0.22583
2026-07-16 18:13:11.678000+00:00,13.285156,9.954834,37.60376
2026-07-16 18:13:13.698000+00:00,13.287109,9.955978,132.250977
2026-07-16 18:13:15.683000+00:00,13.28789,9.958267,132.285156
2026-07-16 18:13:17.678000+00:00,13.288281,9.954071,132.321777
2026-07-16 18:13:19.684000+00:00,13.302344,17.352676,132.27417
2026-07-16 18:13:21.683000+00:00,13.431641,79.296494,231.169434
2026-07-16 18:13:23.719000+00:00,13.437891,79.227066,1065.084229
2026-07-16 18:13:25.718000+00:00,13.442969,79.168701,1064.638672
2026-07-16 18:13:27.723000+00:00,13.450976,79.066467,1064.255371
2026-07-16 18:13:29.727000+00:00,13.454493,79.019547,1063.521729
2026-07-16 18:13:31.693000+00:00,13.457812,78.98407,1063.172607
2026-07-16 18:13:33.725000+00:00,13.460938,78.946686,1062.95166
2026-07-16 18:13:35.726000+00:00,13.466797,78.881454,1062.696533
2026-07-16 18:13:37.738000+00:00,13.469337,78.859711,1062.275391
2026-07-16 18:13:39.722000+00:00,13.471875,78.837204,1062.189941
2026-07-16 18:13:41.728000+00:00,13.474805,78.81813,1062.091064
2026-07-16 18:13:43.729000+00:00,13.479297,78.77388,1062.054443
2026-07-16 18:13:45.735000+00:00,13.481445,78.763199,1061.810303
2026-07-16 18:13:47.739000+00:00,13.483398,78.751373,1061.837158
2026-07-16 18:13:49.728000+00:00,13.485352,78.734207,1061.832275
2026-07-16 18:13:51.723000+00:00,13.489062,78.710175,1061.762695
2026-07-16 18:13:53.736000+00:00,13.491015,78.69606,1061.729736
2026-07-16 18:13:55.743000+00:00,13.492579,78.687668,1061.687012
2026-07-16 18:13:57.739000+00:00,13.495898,78.673172,1061.695557
2026-07-16 18:13:59.744000+00:00,13.497461,78.663635,1061.766357
2026-07-16 18:14:01.734000+00:00,13.499023,78.655243,1061.762695
2026-07-16 18:14:03.750000+00:00,13.500587,78.649521,1061.77124
2026-07-16 18:14:05.752000+00:00,13.503321,78.64418,1061.810303
2026-07-16 18:14:07.750000+00:00,13.504687,78.638077,1061.953125
2026-07-16 18:14:09.756000+00:00,13.506055,78.637314,1061.982422
2026-07-16 18:14:13.765000+00:00,13.509766,78.636551,1062.177734
2026-07-16 18:14:15.750000+00:00,13.510938,78.635788,1062.364502
2026-07-16 18:14:17.755000+00:00,13.512305,78.63884,1062.44751
2026-07-16 18:14:19.762000+00:00,13.513282,78.635025,1062.58667
2026-07-16 18:14:21.765000+00:00,13.515625,78.639603,1062.714844
2026-07-16 18:14:25.794000+00:00,13.517774,78.633499,1062.938232
2026-07-16 18:14:27.790000+00:00,13.519922,78.638458,1062.944336
2026-07-16 18:14:29.798000+00:00,13.520703,78.637314,1063.188477
2026-07-16 18:14:31.767000+00:00,13.521875,78.64151,1063.236084
2026-07-16 18:14:33.802000+00:00,13.522656,78.645706,1063.371582
2026-07-16 18:14:35.800000+00:00,13.52461,78.646469,1063.50708
2026-07-16 18:14:37.800000+00:00,13.525391,78.650665,1063.660889
2026-07-16 18:14:39.799000+00:00,13.526367,78.649139,1063.78418
2026-07-16 18:14:41.784000+00:00,13.527344,78.646851,1063.834229
2026-07-16 18:14:43.801000+00:00,13.528907,78.651047,1063.875732
2026-07-16 18:14:45.797000+00:00,13.529688,78.652954,1064.055176
2026-07-16 18:14:47.801000+00:00,13.530469,78.655243,1064.145508
2026-07-16 18:14:49.786000+00:00,13.53125,78.65448,1064.233398
2026-07-16 18:14:51.790000+00:00,13.532618,78.65181,1064.291992
2026-07-16 18:14:53.802000+00:00,13.533399,78.656387,1064.366455
2026-07-16 18:14:55.805000+00:00,13.53418,78.651047,1064.489746
